"cluster_id","opinion_id","case_name","citation","docket_number","date_filed","court_level","district","district_signal","district_confidence","panel","vote","issue_tags","issue_tags_secondary","canon_invoked","proposal_outcome","fee_disposition","conflict_certified","statute_version","rule_version","subsequent_history","cite_count","category","read_status"
"5097034","4914502","Kennedy v. State","31 Fla. 428","","1893-01-15","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","1","B","unread"
"1815658","1815658","In Re the Florida Bar","265 So. 2d 21","42218-A","1972-07-26","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","11","A","unread"
"7578157","7506489","Florida Bar","391 So. 2d 165","58986","1980-10-09","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"1841419","1841419","Parker v. State","456 So. 2d 436","61512","1984-09-06","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","18","B","unread"
"1946666","1946666","CU Associates, Inc. v. RB Grove, Inc.","472 So. 2d 1177","66045","1985-07-11","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","19","C","unread"
"1743354","1743354","Cheek v. McGowan Elec. Supply Co.","511 So. 2d 977","68563","1987-07-16","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","70","C","unread"
"7631000","7563131","In re Proposed Rules for Implementation of Fla. Stat. ss 44.301-.306","518 So. 2d 908","71312","1987-12-31","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"1745639","1745639","Fixel Enterprises, Inc. v. Theis","524 So. 2d 1015","70704","1988-05-12","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","4","C","unread"
"7644473","7577501","Fla. Bar re Amendment to Rules of Civil Procedure, Rule 1.442","550 So. 2d 442","73263","1989-07-27","supreme","","","","Per curiam; Ehrlich, C.J., Overton, McDonald, Shaw, Barkett, Grimes, Kogan, JJ. Unanimous","9-0","","","unknown","unknown","unknown","","unknown","unknown","replaced rule 1.442 eff. Jan. 1, 1990","1","A","read"
"1670587","1670587","Unicare Health Facilities, Inc. v. Mort","553 So. 2d 159","73638","1989-11-02","supreme","","","","Barkett, J.; Ehrlich, C.J., Overton, McDonald, Shaw, Grimes, Kogan, JJ. Unanimous","9-0","1;8","","unknown","unknown","unknown","unknown","unknown","unknown","","23","C","read"
"1707514","1707514","Aspen v. Bayless","564 So. 2d 1081","75107, 75559","1990-07-26","supreme","","","","McDonald, J.; Shaw, C.J., Overton, Ehrlich, Barkett, Grimes, Kogan, JJ. Unanimous","9-0","","1;9","unknown","unknown","unknown","unknown","unknown","unknown","","58","C","read"
"7655972","7589716","Van Deventer v. Brown","575 So. 2d 1293","76229","1991-03-21","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","C","unread"
"1874445","1874445","In Re Estate of Platt","586 So. 2d 328","74793","1991-10-03","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","41","C","unread"
"1769501","1769501","Leapai v. Milton","595 So. 2d 12","76241","1992-01-23","supreme","","","","Overton, J.; Shaw, C.J., McDonald, Barkett, Grimes, Kogan, JJ. Unanimous","7-0","7","6","unknown","unknown","unknown","unknown","unknown","unknown","","29","C","read"
"1702522","1702522","In Re Amendments to Fla. Rules Civ. Proc.","604 So. 2d 1110","79613","1992-07-16","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","15","A","unread"
"1842760","1842760","Timmons v. Combs","608 So. 2d 1","78272","1992-10-22","supreme","","","","Grimes, J.; Barkett, C.J., McDonald, Shaw, Kogan, Harding, JJ. Overton, J., concurring, joined by McDonald, J. Plus Supplemental Order, Oct. 22, 1992","7-0","","5","unknown","unknown","unknown","unknown","unknown","unknown","Supplemental Order Oct. 22, 1992","66","C","read"
"1925102","1925102","Metropolitan Dade County v. Jones Boatyard, Inc.","611 So. 2d 512","79253","1993-01-07","supreme","","","","Kogan, J.; Barkett, C.J., McDonald, Shaw, Grimes, Harding, JJ., concur. Overton, J., dissents without opinion","6-1","7","","unknown","unknown","unknown","unknown","unknown","unknown","ratifies Mudano","18","C","read"
"1617274","1617274","Fabre v. Marin","623 So. 2d 1182","79869, 79870","1993-08-26","supreme","","","","Grimes, J.; Overton, McDonald, Shaw, Harding, JJ., concur. Barkett, C.J., dissenting, joined by Kogan, J.","5-2","3","","unknown","unknown","unknown","unknown","unknown","unknown","","186","X","read"
"1782015","1782015","State Farm Mut. Auto. Ins. Co. v. Malmberg","639 So. 2d 615","82468","1994-07-07","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","4","C","unread"
"1715682","1715682","TGI Friday's, Inc. v. Dvorak","663 So. 2d 606","83811","1995-08-24","supreme","","","","Overton, J.; Grimes, C.J., Kogan, Harding, JJ., concur. Shaw, J., concurs in result only. Wells, J., concurs in part and dissents in part. Anstead, J., recused","unknown","1;2;6;7","","unknown","unknown","unknown","unknown","unknown","unknown","rehearing denied Nov. 27, 1995","106","C","read"
"1725730","1725730","Hannah v. Newkirk","675 So. 2d 112","85946","1996-06-06","supreme","","","","Harding, J.; Kogan, C.J., Overton, Shaw, Anstead, JJ., concur. Grimes, J., concurring. Wells, J., concurring in part and dissenting in part","unknown","1;6;9","","unknown","unknown","unknown","unknown","unknown","unknown","","7","C","read"
"1725782","1725782","Knealing v. Puleo","675 So. 2d 593","85849","1996-06-20","supreme","","","","Wells, J.; Kogan, C.J., Shaw, Grimes, Harding, Anstead, JJ. Overton, J., dissents without opinion","6-1","10","","unknown","unknown","unknown","unknown","unknown","unknown","","16","C","read"
"1686825","1686825","In re Amendments to Fla. Rules of Civ. Proc.","682 So. 2d 105","87689, 88015","1996-10-31","supreme","","","","unknown","unknown","3","","unknown","unknown","unknown","","unknown","unknown","source of rule 1.442(c)(3) and the Fabre committee note","29","A","read"
"1843592","1843592","Gulliver Academy, Inc. v. Bodek","694 So. 2d 675","86652","1997-02-06","supreme","","","","Wells, J.; Overton, Shaw, Grimes, Harding, Anstead, JJ. Unanimous","6-0","10","","unknown","unknown","unknown","unknown","unknown","unknown","","16","C","read"
"1799433","1799433","MX Investments, Inc. v. Crawford","700 So. 2d 640","89623","1997-09-04","supreme","","","","Wells, J.; Kogan, C.J., Overton, Shaw, Grimes, Harding, Anstead, JJ. Unanimous","7-0","5;9","","unknown","unknown","unknown","unknown","unknown","unknown","","24","C","read"
"1671070","1671070","Allstate Ins. Co. v. Manasse","707 So. 2d 1110","89366","1998-01-15","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","77","C","unread"
"1846806","1846806","MGR Equipment Corp. v. Wilson Ice Enterprises, Inc.","731 So. 2d 1262","92,655","1999-03-25","supreme","","","","Shaw, J.; Harding, C.J., Wells, Lewis, Quince, JJ., concur. Pariente, J., specially concurring, joined by Anstead, J.","5-0","4","5;8","unknown","unknown","unknown","unknown","unknown","unknown","","17","C","read"
"1770539","1770539","Rollins v. Pizzarelli","761 So. 2d 294","SC92080","2000-05-04","supreme","","","","Per curiam on rehearing (Feb. 4, 1999 opinion withdrawn). Anstead, Pariente, Lewis, Quince concur. Harding, C.J., dissents with Wells, J.; Wells, J., dissents separately; Shaw, J., dissents","4-3","","9","unknown","unknown","unknown","unknown","unknown","unknown","opinion on rehearing; original withdrawn","121","C","read"
"7797237","7737432","Amendments to the Florida Rules of Civil Procedure","773 So. 2d 1098","SC00-730","2000-10-05","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"1102697","1102697","Pirelli Armstrong Tire Corp. v. Jensen","777 So. 2d 973","SC00-833","2001-02-08","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","12","C","unread"
"1878364","1878364","Metropolitan Dade County v. Hall","784 So. 2d 1087","SC00-1647","2001-04-26","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","30","C","unread"
"1860954","1860954","Allstate Indem. Co. v. Hingson","808 So. 2d 197","SC01-33","2002-01-17","supreme","","","","Per curiam; Wells, C.J., Pariente, Lewis, Quince, JJ. Harding, J., dissents, joined by Shaw and Anstead, JJ.","4-3","1;3","9","unknown","unknown","unknown","unknown","unknown","unknown","disapproves Herzog v. K-Mart","22","C","read"
"1912574","1912574","White v. Steak and Ale of Florida, Inc.","816 So. 2d 546","SC01-96","2002-04-18","supreme","","","","Pariente, J.; Wells, C.J., Shaw, Anstead, Lewis, Quince, JJ., concur. Harding, J., concurring in part and dissenting in part","6-1","9","","unknown","unknown","unknown","unknown","unknown","unknown","","22","C","read"
"1713805","1713805","Standard Jury Inst.-Civ. Cases (01-1 & 01-2)","825 So. 2d 277","SC01-1205, SC01-2854","2002-06-06","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","2","B","unread"
"1090776","1090776","Willis Shaw Express, Inc. v. Hilyer Sod, Inc.","849 So. 2d 276","SC02-1521","2003-03-13","supreme","","","","Wells, J.; Anstead, C.J., Pariente, Quince, Cantero, Bell, JJ., concur. Lewis, J., concurs in result only","6-1","1;2;3","","derogation","unknown","unknown","true","unknown","unknown","rehearing denied June 26, 2003","123","C","read"
"1831641","1831641","Sarkis v. Allstate Ins. Co.","863 So. 2d 210","SC02-428","2003-10-02","supreme","","","","Per curiam; Anstead, C.J., Lewis, Quince, Bell, JJ. Wells, J., concurring, joined by Bell, J. Pariente, J., dissenting. Cantero, J., recused","4-1","1;2;9","","derogation","unknown","unknown","unknown","unknown","unknown","","59","C","read"
"7821028","7762840","Amendments to the Florida Rules of Civil Procedure","858 So. 2d 1013","SC03-161","2003-10-23","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","1","A","unread"
"1831568","1831568","D'Angelo v. Fitzmaurice","863 So. 2d 311","SC03-33, SC03-97","2003-11-26","supreme","","","","Bell, J.; Anstead, C.J., Wells, Pariente, Lewis, Quince, Cantero, JJ. Unanimous","7-0","","3;9","unknown","unknown","unknown","unknown","unknown","unknown","","99","C","read"
"1105967","1105967","Robinson v. Nationwide Mut. Fire Ins. Co.","887 So. 2d 328","SC03-1670","2004-10-28","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","3","C","unread"
"1950924","1950924","Lamb v. Matetzschk","906 So. 2d 1037","SC03-1444","2005-06-23","supreme","","","","Quince, J.; Wells, Cantero, Bell, JJ., concur. Pariente, C.J., specially concurring, joined by Anstead and Lewis, JJ. Lewis, J., concurring in result only, with opinion","4-0+3","1;3","","unknown","unknown","unknown","unknown","unknown","unknown","superseded in part by rule 1.442(c)(4), 52 So. 3d 579 (Fla. 2010)","55","C","read"
"1882758","1882758","Wilson v. Salamon","923 So. 2d 363","SC04-140","2005-10-20","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","57","C","unread"
"1899565","1899565","Saia Motor Freight Line, Inc. v. Reid","930 So. 2d 598","SC04-2443","2006-05-11","supreme","","","","Wells, J.; Quince, Cantero, Bell, JJ., concur. Pariente, C.J., dissenting, joined by Anstead and Lewis, JJ.","4-3","10","3","unknown","unknown","unknown","unknown","unknown","unknown","","66","C","read"
"1697927","1697927","State Farm Mut. Auto. Ins. Co. v. Nichols","932 So. 2d 1067","SC03-1483, SC03-1653","2006-06-01","supreme","","","","Cantero, J.; Pariente, C.J., Wells, Lewis, Bell, JJ., concur. Anstead, J., concurs in result only, joined by Quince, J.","5-2","4;5","","unknown","unknown","unknown","unknown","unknown","unknown","","121","C","read"
"1140885","1140885","Campbell v. Goldman","959 So. 2d 223","SC06-611","2007-06-14","supreme","","","","Quince, J.; Lewis, C.J., Wells, Cantero, JJ., concur. Pariente, J., specially concurring, joined by Anstead, J. Bell, J., concurring in result only, with opinion","4-2","1;2","","derogation","unknown","unknown","unknown","unknown","unknown","","53","C","read"
"1682609","1682609","In Re Amendments to Rules of Civ. Procedure","966 So. 2d 943","SC07-173","2007-09-27","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","2","A","unread"
"1785275","1785275","Frosti v. Creel","979 So. 2d 912","SC07-122","2008-03-20","supreme","","","","Wells, J.; Lewis, C.J., Anstead, Pariente, Quince, Cantero, Bell, JJ. Unanimous","7-0","6;9;10","","unknown","unknown","unknown","unknown","unknown","unknown","","15","C","read"
"1786026","1786026","Massey v. David","979 So. 2d 931","SC07-776","2008-04-03","supreme","","","","unknown","unknown","","5","unknown","unknown","unknown","unknown","unknown","unknown","","36","C","read"
